"","PLAYER_ID","nameFirst","nameLast"
"1","0299c3256bc3f426c395bc950feecb5231525128","Kyle","Nicolas"
"2","0b7e91b73e8e3ce2c1aa8d74416e37aa24d45b60","Logan","Allen"
"3","102be786b501ac586b0919515e7707ff61c84bf4","Cody","Poteet"
"4","11414d3c42573a52b9032d1287494a78a912c4af","Caleb","Boushley"
"5","1197ad8826628a3b6a30dce1a669fec173342b7b","Donovan","Walton"
"6","128f3d8f2092540735e1a741529518b8058d4758","Yoendrys","Gómez"
"7","1df963b3d540d35badcbf3958f021f4c840da4c5","Vladimir","Gutierrez"
"8","1fb28f21cef40755e2a212961ff20f84a625c889","Josh","Rogers"
"9","20c0d7fd0fb4221c2aeb59118b16753e1f723b09","Jack","Lopez"
"10","210e8eb72fd863044b7e911862dfe01a35d6f18f","Shaun","Anderson"
"11","2218a9b7c80545dbbf19207aa0a7ae665d871997","Vinny","Nittoli"
"12","263f19273c6c4c12eceadb8824228fe1eac5e8a4","Tejay","Antone"
"13","27c6fba076399f5a9ed7d239040f8a5278e0b538","Sean","Reid-Foley"
"14","28769a4318dde26fa5646e2c529e945efba8ce5a","Kent","Emanuel"
"15","2c0e9779db5f773f85515826ebeba69f38b7c6ec","Wes","Parsons"
"16","2e2f82f44014444369b40a5d707da242edadfbf1","Lucas","Gilbreath"
"17","309a1f01f20d5291c0ecd0a7cdfa6c248ea61dcf","Edwin","Diaz"
"18","30a5c4c806d84a9c2cae48ba4750c9ab81a676d0","Simeon","Woods Richardson"
"19","34cf2ac6c998b697876cca89e2067537fbc085b2","Max","Meyer"
"20","34db29c6c5dba776c3229d6fd6421da5634440a6","Manuel","Rodriguez"
"21","369cbabc57e48432e228701fce080636f3e25cf4","Elieser","Hernandez"
"22","3fb2a9e597adae69e240263841a8d5ae41687292","Scott","Blewett"
"23","3ffca17a704b2bdd7b912cacb3c528f5a627fbad","Edwin","Uceta"
"24","4067352dd7de59eec33385ed2ad228ab65f2f6f9","Mason","McCoy"
