"","pitcher","predicted_BF"
"1","bf5e9bb1e0b316040feec5de1382294d11de991c",290.475921630859
"2","75974da3aded6c20132e5deec637421440e53359",284.253387451172
"3","c49e056234374c96975f093af9e1f41c4efd1e7f",121.098960876465
"4","8bd7aca31aca3f9dea95888e3c5585ce9ca573f2",207.481185913086
"5","1b6e325206b56276bc690f3f7397aa8e4cfa7507",208.970855712891
"6","1563b7e821ce94e55b751e2656d96bb2de8d6795",158.382385253906
"7","8a08ce5d05e0465063d79ef1f4d943a508e6ab9a",190.462844848633
"8","83902f320532a76b56367b2d4c62ffb125fdab44",188.986968994141
"9","0e83bafabb77ec13c356db364be8cea1d55afcfe",229.496047973633
"10","b49c738a07341fb073afea180a7b892abf6e232e",177.060043334961
"11","812bda429f3d18d027657b049c110ed4130ede6e",185.590667724609
"12","0629cd765e77d52b8a43cb56621c82d949e50323",247.813247680664
"13","be7f0ff8013f5b20f0a0506744e7111efe58dfff",226.984481811523
"14","52ac31111dbf3a9e6436c1e015d4b4f1f1e87498",186.723693847656
"15","ffc9b6a7a663bc322e74c70a5ed8756787a577d0",183.352005004883
"16","8f91d5b0189a7625db655e9fdc00bd4f5b83f22c",140.588165283203
"17","8f23179838b57e550c4f5e0b54e6ecaef2334e1e",111.278350830078
"18","5e8f513c1734bce63b5397dc941c8dd2619629ab",135.631530761719
"19","de566af1e7e0bb3ce8af5471e5ac7375419078d5",227.949340820312
"20","3087242369b2d930919a24f18465410ac9ec13ad",159.14323425293
"21","ab0cd1b594b0a41f4764e09cdd25c6a2f552896d",189.468734741211
"22","4287aa2ff8961c9dca441af92688f8b1465573ff",155.282745361328
"23","d3798a74395f1e574c0d0ced6a641de62d493cc4",207.262573242188
"24","d5a4b3c049b9174581cb64c46d1b4bb0ab9fcadd",227.514663696289
"25","5355c083d8ca64985bd4970d9f2c471bc6a78b5a",141.36247253418
"26","116bf451ad3ada01098811683426047231cca18e",174.927047729492
"27","03e2eae7a110aca5c7e1d13a103ee2222beb1f76",119.691070556641
"28","c8705dd3e5f5bce88f756219fa637cfb240e566f",216.053573608398
"29","5681b7657ff7c609cb34127a516ba274b1616a81",296.071350097656
"30","7573fc4f8c8315edf05641c893eceba4bada3659",197.382064819336
"31","befea4c140f097ea4ca1952db4949a66119ba917",127.547210693359
"32","192d31d34cbf8d951c0e100e5f726681eef343d8",186.758331298828
"33","c88978fc394e9ebef82a2dc286ebadd1039ee29d",141.576049804688
"34","80fe2c6a392ae1a7535192e20c7d47b4cc05a24a",164.790267944336
"35","62f390657175b0afc42fade8260485ae5e5fda50",258.308044433594
"36","7ab19f57104e23f4a0030c5cfbdc8a9f9e40c82e",154.541839599609
"37","745e1b784f3db91845844981ae0a8c06c9f09135",202.396041870117
"38","bef358a6e321b663a57d68088262dbcb52375fef",220.333892822266
"39","3357488d4771f0c815e0d61df19e152f9e389a03",345.728515625
"40","4d7401674f98609d7ca85e20fa15ea13b68033c1",198.408248901367
"41","5a7b74f3fe9a042847ad03a0d45702dae2dac133",244.130874633789
"42","d0b04d5560dd66f62ab0237e464de9bc15bb13a2",153.332077026367
"43","95488e24309dc2d5f727415238c82cc138a43009",255.470840454102
"44","68d6e891736066dd5e4a3c97b43a9060b7c9a7ed",208.83447265625
"45","c7764f04723365202062787557ef0b2013a49725",213.318801879883
"46","57ed72fa5129e91aaf45fc261c297eb2ee3c6168",317.313446044922
"47","bb2a17fbac021ed509b946b71f955f48e974434f",192.373931884766
"48","07d42c9874819367bc84d03f3e101e85ab6dcb86",210.597930908203
"49","bf9d8e5bb95edd83b3afe849a93622a7de57492a",131.26139831543
"50","7c35c79676ae328547cd2bc013be0f6874eb722e",201.956283569336
"51","7695d350b8d34fbda2e2b035eeb35e2d919b17b7",201.86457824707
"52","264420f7804884c990caebcf743ee98c87d86349",180.264862060547
"53","a81078aaee30c1703774a959d43e291fafd547c6",260.64111328125
"54","963b6b90ab5708423da2c909b2a606e73af500b4",156.67155456543
"55","2900026277a43ce449d9fbacfd01895241edfd71",128.353073120117
"56","a57686452bd195a51f2e6803c2c5e4ad7dad887c",255.305938720703
"57","4a1b56a89821e61940d740d12c64a5de44e55f41",108.475364685059
"58","fddbf98f72e3a7fed3608a6508e0535ae466c430",163.67839050293
"59","ce746d67556da11c57b57d89f6d7119afac28883",210.55110168457
"60","715dd36ff08e326e2b4c45427c153b0e7bac6d23",182.281921386719
"61","3a0069aa7adaee13eac04b432235b9a1364cbf42",87.522575378418
"62","6060f5fb26cb60aa269f7333c8d0a03bff57ee84",119.62809753418
"63","680d8a2a212ce7774fd2e0fe66dd423894176e39",195.474044799805
"64","c7503cdabadddfba29040d0407b6dc257de75653",133.834945678711
"65","4be0e45ba7969bcad788c1410dec531270067842",325.982696533203
"66","ca542ccea8cdb8ec734056fe3717fcfac3c088ea",153.523178100586
"67","f4376d857342ed8e25960235e8b2dc6185aca904",188.295501708984
"68","988248071ac6854ec1205b5a93b3f86f2b4aa8e2",331.149322509766
"69","7225bf582939c600aa52453cbb20e88ea4d18381",170.493850708008
"70","fd7f4047f2b5b29c995949d97e80a2f2a5155a0d",204.064071655273
"71","9733e83987bc6ef229981f8ffbe5cf103e5d1491",192.097732543945
"72","c4cfbf7ccc18d0374d84bbc07f15cca8c75a392e",102.893798828125
"73","08d240df712d1b0a76fbd4faa39e27a73e917e26",174.647979736328
"74","63227b0144020db4a3270d811696c76c51f4ad91",147.44709777832
"75","42a91743f84132f1bc7884c2a507c1eb66239a1e",451.847595214844
"76","c5cdb7dc2ab3cb6e2c84e349c9f39a995dc322a8",205.306701660156
"77","fa53216f8212cb607a6129cb4ebc0b668a680b8f",120.916305541992
"78","e85545ca5867ce71d3c1fe23ef865b6f94f28c95",221.752777099609
"79","8cb0077cfb3e22ea21306da0bccccd6780395e82",278.599731445312
"80","833193952eb3312ce58f20271128721570691ade",231.420608520508
"81","79b80b1da9e97abefd52404c09bc7208276a309f",163.134704589844
"82","ab22430ffdd4b0e3c20d34f7a33d386fb734986a",232.865646362305
"83","56ddac08236b6ab90f63bc9abac2d7c527d4fae0",156.016647338867
"84","0970a31949e9d9c0db5d90ee6eaee120529ad264",205.838714599609
"85","6475ed1418a5225c0f402359baf82d3cf8baefaf",225.934341430664
"86","810ac2caa9faf2673d3f3ace92b7f4b857334a22",278.711456298828
"87","726e3476c9a02b551c4633f987e580e4d68eba5b",247.431518554688
"88","ed84950a812aeacbea957a14cbb4164f485921b5",173.751770019531
"89","8268c9e039e5628e74e432e55d3d726be52a443c",111.298812866211
"90","10fedf67aa649b50c9974dd8fdfef7a128e5adc3",258.971069335938
"91","33f50b682fed41f36da8147ac43882043bed55b7",102.175964355469
"92","bc301574248628ab3342c10680311800d075b607",222.205780029297
"93","911c1207c6750d3cadff20ce7f8a4bbbb8b30c1d",527.560180664062
"94","b5f2346c7c507eb71507e93b9202b6c332a72386",153.721374511719
"95","b014127dd50ee1385d129221073a9bc1efe8dcea",134.566558837891
"96","064ce4262b457f4b6448a6ff9dafd8882ebfeebf",97.3707504272461
"97","a7677072d50ce8758e7984df02b7c086581c7c0f",163.606262207031
"98","19c4182f72e996e7f55493ca7cca258f713f50b9",203.325210571289
"99","01171c9c71028faf86b7447ec692000f50df9fac",232.381561279297
"100","184ba48e3db09e2f095182dbeb8945a23d6f61a7",169.609970092773
"101","acfafb3a527acf0793a48daf0a4776fc02688540",216.741226196289
"102","334ce413bd7e427449bd6118ebd6d8506e2c633e",153.706909179688
"103","5cfc5b2e57541cef91d8a828f09574e9824a2f30",239.846069335938
